mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,bbbp
gdb_22904,ON=C1CCC(O)C1=O,2.88106,1.34753,0.94928,2.5502,70.53,-0.2455,-0.0789,0.1666,1174.8326,0.123632,-475.000834,-474.992502,-474.991557,-475.033903,31.236,-1560.906674685,-1569.8982511461,-1578.78754364,-1451.6391600241,0.10640056
gdb_22106,CCC(=O)CC(=NO)C,2.72547,0.88736,0.77906,1.9093,79.67,-0.2347,-0.0243,0.2104,1551.4387,0.16695,-440.276202,-440.265295,-440.264351,-440.313695,37.942,-1869.6931859321,-1880.623765203,-1891.885669226,-1736.715871215,0.046194434
gdb_14520,OCC1(O)C2CC1N2,3.85281,1.77256,1.49529,2.1467,64.02,-0.2352,0.0519,0.287,872.9147,0.143119,-400.910957,-400.90375,-400.902805,-400.942142,28.561,-1544.6893320891,-1555.275408919,-1564.758324927,-1430.251770777,0.95908487
gdb_15156,CN=COCC1CC1,10.08154,0.71343,0.69082,2.8367,77.87,-0.2444,0.0284,0.2728,1663.9541,0.163948,-365.041557,-365.032384,-365.03144,-365.076915,31.739,-1762.975240338,-1774.105367471,-1784.774902998,-1638.041335983,0.5913045
gdb_22649,ON=C1COC(C1)C#C,3.08978,1.08127,1.02334,0.9952,73.3,-0.2503,-0.0033,0.247,1211.8192,0.122774,-437.807216,-437.79867,-437.797726,-437.840761,31.817,-1576.085489886,-1584.94340693,-1593.833326933,-1467.372693181,0.9923861
gdb_27567,Cc1ccnc(c1)C#C,3.42726,1.2133,0.90108,2.7553,89.81,-0.241,-0.0403,0.2007,1253.4584,0.124609,-363.647625,-363.639422,-363.638477,-363.681148,30.42,-1749.292406593,-1758.3668142421,-1767.256106736,-1641.0778520341,0.96589315
gdb_5309,CC(O)C1=CN=CN1,4.52991,1.53811,1.19804,2.4292,66.28,-0.2218,0.0251,0.2468,977.7573,0.132226,-379.960349,-379.952773,-379.951829,-379.992484,28.139,-1563.7549380361,-1573.220911301,-1582.111458813,-1456.546907913,0.6311365
gdb_11621,CC(C)OCC1CN1,5.02297,0.90751,0.85537,2.5345,76.41,-0.2432,0.0777,0.3209,1432.6234,0.1873,-366.23135,-366.221862,-366.220918,-366.266387,33.999,-1881.7294360611,-1894.439003347,-1906.294530884,-1743.223139545,0.95997137
gdb_5531,CCc1c(nco1)O,3.31831,1.81698,1.26003,0.505,63.85,-0.211,0.0054,0.2163,949.8829,0.119366,-399.839536,-399.831933,-399.830989,-399.871935,27.43,-1500.2146317141,-1508.775109492,-1517.072660999,-1399.9098281001,0.9031909
gdb_26240,CC(O)C1=NC=C(C)N1,3.89754,1.0249,0.8545,4.4767,79.44,-0.2172,0.0261,0.2432,1378.9829,0.159506,-419.259584,-419.250266,-419.249322,-419.294141,34.19,-1847.3369227891,-1858.376061117,-1869.044969135,-1719.150639287,0.8623237
gdb_28433,Cc1ccc(cc1C)N,2.97542,1.29881,0.91516,1.3335,92.63,-0.1904,0.0138,0.2043,1297.9813,0.171994,-366.095006,-366.085993,-366.085049,-366.128079,35.023,-2029.3427706941,-2041.463107029,-2052.725011052,-1894.1039135411,0.9589178
gdb_17507,C#CC12CC3C(O1)C23,5.0736,1.82346,1.66558,1.8518,67.52,-0.2378,0.0147,0.2524,786.8268,0.106496,-345.294742,-345.288476,-345.287532,-345.324848,25.233,-1443.974137589,-1452.4862971741,-1460.190852676,-1349.480067315,0.96525276
gdb_4617,OC1=COC(=N)C=C1,5.59783,1.5842,1.23476,3.5657,66.11,-0.2023,-0.0477,0.1547,899.8678,0.096478,-398.62284,-398.616217,-398.615273,-398.653502,25.471,-1364.5785613641,-1371.976892474,-1379.088451971,-1276.554736389,0.45445034
gdb_8066,CCC1C2CC1(O)C2,3.44546,1.54623,1.32425,1.166,75.44,-0.2567,0.0809,0.3376,1028.7554,0.177151,-348.959701,-348.951621,-348.950677,-348.992118,31.378,-1860.214034978,-1872.9192097011,-1884.181741233,-1727.0572526871,0.9287704
gdb_25713,CC#CCn1ccnc1,4.52404,0.78866,0.73464,4.2745,82.23,-0.2213,0.0267,0.2479,1567.9989,0.136614,-380.877795,-380.868803,-380.867859,-380.914482,30.939,-1744.779361865,-1754.2465901481,-1763.729506156,-1631.5566579771,0.92502475
gdb_7179,CCCC(C)CC=O,5.81288,0.75235,0.70236,2.8442,79.88,-0.2471,-0.0191,0.228,1643.7668,0.197328,-350.228652,-350.218271,-350.217327,-350.265032,36.058,-2028.6405881231,-2041.6789701251,-2054.127493667,-1884.5996622271,0.08074862
gdb_12871,CC12C=CCC1C2O,2.71582,2.27325,1.78532,1.6053,72.34,-0.2219,0.0108,0.2327,842.7915,0.154124,-347.801199,-347.793709,-347.792764,-347.832298,29.633,-1761.095223374,-1772.393522919,-1782.469434932,-1640.482345993,0.746108
gdb_16701,CC1CC2CC1C2O,3.37269,1.79988,1.56977,1.5452,73.76,-0.243,0.074,0.317,918.395,0.178699,-348.99256,-348.985056,-348.984112,-349.02375,30.192,-1880.8333532091,-1893.8999731161,-1905.162504648,-1746.9066173751,0.8864865
gdb_17216,C1OC11CN2CCC12,4.38093,1.80355,1.56309,2.4682,67.41,-0.2189,0.0637,0.2826,851.5826,0.142931,-363.787585,-363.780863,-363.779918,-363.818632,26.13,-1603.948144504,-1614.839190708,-1624.322106716,-1489.680010622,0.9858139
